,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
9119,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Human health and social work activities (Q),204.9
9120,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Industry (B to E),68.8
9121,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Industry and Construction (B to F),
9122,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Services (G to U),
9123,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,"Financial, insurance and real estate activities (K,L)",49.8
9124,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Other NACE activities (R to U),60.0
9125,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q2,Female,Not stated,
9126,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,All NACE economic sectors,1995.8
9127,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,"Agriculture, forestry and fishing (A)",106.9
9128,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Construction (F),95.8
9129,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",288.7
9130,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Transportation and storage (H),84.5
9131,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Accommodation and food service activities (I),145.3
9132,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Information and communication (J),96.1
9133,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,"Professional, scientific and technical activities (M)",127.6
9134,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Administrative and support service activities (N),78.5
9135,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,"Public administration and defence, compulsory social security (O)",89.7
9136,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Education (P),145.1
9137,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Human health and social work activities (Q),265.4
9138,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Industry (B to E),248.6
9139,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Industry and Construction (B to F),
9140,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Services (G to U),
9141,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",106.5
9142,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Other NACE activities (R to U),109.3
9143,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Both sexes,Not stated,
9144,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,All NACE economic sectors,1081.7
9145,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,"Agriculture, forestry and fishing (A)",91.9
9146,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Construction (F),89.7
9147,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",140.5
9148,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Transportation and storage (H),67.9
9149,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Accommodation and food service activities (I),74.1
9150,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Information and communication (J),64.4
9151,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,"Professional, scientific and technical activities (M)",76.4
9152,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Administrative and support service activities (N),43.3
9153,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,"Public administration and defence, compulsory social security (O)",49.2
9154,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Education (P),40.5
9155,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Human health and social work activities (Q),59.4
9156,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Industry (B to E),179.3
9157,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Industry and Construction (B to F),
9158,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Services (G to U),
9159,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,"Financial, insurance and real estate activities (K,L)",54.1
9160,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Other NACE activities (R to U),46.4
9161,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Male,Not stated,
9162,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,All NACE economic sectors,914.3
9163,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,"Agriculture, forestry and fishing (A)",15.5
9164,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Construction (F),6.3
9165,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",148.3
9166,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Transportation and storage (H),16.9
9167,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Accommodation and food service activities (I),70.4
9168,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Information and communication (J),31.8
9169,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,"Professional, scientific and technical activities (M)",51.2
9170,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Administrative and support service activities (N),34.9
9171,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,"Public administration and defence, compulsory social security (O)",40.8
9172,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Education (P),104.5
9173,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Human health and social work activities (Q),206.1
9174,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Industry (B to E),69.5
9175,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Industry and Construction (B to F),
9176,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Services (G to U),
9177,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,"Financial, insurance and real estate activities (K,L)",52.3
9178,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Other NACE activities (R to U),62.6
9179,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q3,Female,Not stated,
9180,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,All NACE economic sectors,2017.8
9181,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,"Agriculture, forestry and fishing (A)",106.4
9182,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Construction (F),100.7
9183,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",290.2
9184,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Transportation and storage (H),86.2
9185,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Accommodation and food service activities (I),146.9
9186,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Information and communication (J),100.3
9187,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,"Professional, scientific and technical activities (M)",127.4
9188,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Administrative and support service activities (N),81.1
9189,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,"Public administration and defence, compulsory social security (O)",88.3
9190,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Education (P),149.0
9191,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Human health and social work activities (Q),263.6
9192,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Industry (B to E),255.5
9193,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Industry and Construction (B to F),
9194,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Services (G to U),
9195,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",107.4
9196,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Other NACE activities (R to U),108.5
9197,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Both sexes,Not stated,
9198,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,All NACE economic sectors,1096.8
9199,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,"Agriculture, forestry and fishing (A)",91.1
9200,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Construction (F),94.1
9201,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",143.4
9202,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Transportation and storage (H),69.2
9203,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Accommodation and food service activities (I),73.4
9204,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Information and communication (J),66.5
9205,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,"Professional, scientific and technical activities (M)",79.5
9206,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Administrative and support service activities (N),44.4
9207,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,"Public administration and defence, compulsory social security (O)",47.7
9208,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Education (P),40.8
9209,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Human health and social work activities (Q),55.1
9210,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Industry (B to E),183.5
9211,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Industry and Construction (B to F),
9212,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Services (G to U),
9213,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,"Financial, insurance and real estate activities (K,L)",56.2
9214,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Other NACE activities (R to U),45.7
9215,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Male,Not stated,
9216,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,All NACE economic sectors,922.5
9217,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,"Agriculture, forestry and fishing (A)",15.0
9218,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Construction (F),6.5
9219,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.7
9220,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Transportation and storage (H),16.8
9221,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Accommodation and food service activities (I),73.8
9222,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Information and communication (J),33.6
9223,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,"Professional, scientific and technical activities (M)",49.7
9224,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Administrative and support service activities (N),36.2
9225,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,"Public administration and defence, compulsory social security (O)",40.5
9226,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Education (P),108.0
9227,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Human health and social work activities (Q),208.0
9228,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Industry (B to E),72.3
9229,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Industry and Construction (B to F),
9230,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Services (G to U),
9231,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,"Financial, insurance and real estate activities (K,L)",50.9
9232,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Other NACE activities (R to U),63.3
9233,Persons aged 15-89 years in Employment (Seasonally Adjusted),2014Q4,Female,Not stated,
9234,Persons aged 15-89 years in Employment (Seasonally Adjusted),2015Q1,Both sexes,All NACE economic sectors,2031.6
9235,Persons aged 15-89 years in Employment (Seasonally Adjusted),2015Q1,Both sexes,"Agriculture, forestry and fishing (A)",108.8
9236,Persons aged 15-89 years in Employment (Seasonally Adjusted),2015Q1,Both sexes,Construction (F),106.0
9237,Persons aged 15-89 years in Employment (Seasonally Adjusted),2015Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",288.6
