,Statistic,Quarter,Sector,value
11474,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Export of Goods (excluding Factor Income Flows),23901.0
11475,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Import of Goods (excluding Factor Income Flows),-15234.0
11476,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Export of Services (excluding Factor Income Flows),25539.0
11477,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Import of Services (excluding Factor Income Flows),-26321.0
11478,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Final Domestic Demand,40787.0
11479,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q1,Total Domestic Demand,41070.0
11480,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Personal Expenditure on Consumer Goods and Services,24187.0
11481,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Household & NPISH Final Consumption Expenditure,22905.0
11482,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7903.0
11483,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,General Government Expenditure on Goods & Services provided to Households,6021.0
11484,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,General Government Collective Consumption Expenditure,3164.0
11485,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,General Government Final Consumption Expenditure,9185.0
11486,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross Domestic Fixed Capital Formation,9949.0
11487,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Dwellings,
11488,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Improvements,
11489,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Other Building and Construction,
11490,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Transfer Costs,
11491,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Machinery and Equipment,3561.0
11492,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11493,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross domestic fixed capital formation - Intangible Assets,2503.0
11494,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3886.0
11495,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Value of Physical Changes in Stocks,40.0
11496,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Exports of Goods and Services (excluding Factor Income Flows),49080.0
11497,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Imports of Goods and Services (excluding Factor Income Flows),-41580.0
11498,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross Domestic Product at Market Prices,52000.0
11499,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Net Factor Income from the Rest of the World,-9093.0
11500,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Gross National Product at Market Prices,42907.0
11501,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Statistical Discrepancy,
11502,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Export of Goods (excluding Factor Income Flows),23157.0
11503,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Import of Goods (excluding Factor Income Flows),-16351.0
11504,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Export of Services (excluding Factor Income Flows),25923.0
11505,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Import of Services (excluding Factor Income Flows),-25229.0
11506,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Final Domestic Demand,42039.0
11507,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q2,Total Domestic Demand,42079.0
11508,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Personal Expenditure on Consumer Goods and Services,23810.0
11509,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Household & NPISH Final Consumption Expenditure,22530.0
11510,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7814.0
11511,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,General Government Expenditure on Goods & Services provided to Households,5959.0
11512,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,General Government Collective Consumption Expenditure,3134.0
11513,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,General Government Final Consumption Expenditure,9093.0
11514,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross Domestic Fixed Capital Formation,8962.0
11515,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Dwellings,
11516,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Improvements,
11517,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Other Building and Construction,
11518,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Transfer Costs,
11519,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Machinery and Equipment,2696.0
11520,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11521,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross domestic fixed capital formation - Intangible Assets,2509.0
11522,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3756.0
11523,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Value of Physical Changes in Stocks,517.0
11524,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Exports of Goods and Services (excluding Factor Income Flows),48418.0
11525,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Imports of Goods and Services (excluding Factor Income Flows),-41045.0
11526,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross Domestic Product at Market Prices,51222.0
11527,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Net Factor Income from the Rest of the World,-8896.0
11528,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Gross National Product at Market Prices,42326.0
11529,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Statistical Discrepancy,
11530,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Export of Goods (excluding Factor Income Flows),23459.0
11531,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Import of Goods (excluding Factor Income Flows),-15823.0
11532,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Export of Services (excluding Factor Income Flows),24958.0
11533,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Import of Services (excluding Factor Income Flows),-25222.0
11534,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Final Domestic Demand,40585.0
11535,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q3,Total Domestic Demand,41102.0
11536,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Personal Expenditure on Consumer Goods and Services,23960.0
11537,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Household & NPISH Final Consumption Expenditure,22654.0
11538,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7515.0
11539,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,General Government Expenditure on Goods & Services provided to Households,5789.0
11540,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,General Government Collective Consumption Expenditure,3032.0
11541,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,General Government Final Consumption Expenditure,8821.0
11542,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross Domestic Fixed Capital Formation,9722.0
11543,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Dwellings,
11544,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Improvements,
11545,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Other Building and Construction,
11546,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Transfer Costs,
11547,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Machinery and Equipment,3403.0
11548,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,
11549,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross domestic fixed capital formation - Intangible Assets,2691.0
11550,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",3628.0
11551,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Value of Physical Changes in Stocks,-139.0
11552,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Exports of Goods and Services (excluding Factor Income Flows),48967.0
11553,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Imports of Goods and Services (excluding Factor Income Flows),-41817.0
11554,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross Domestic Product at Market Prices,51331.0
11555,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Net Factor Income from the Rest of the World,-10033.0
11556,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Gross National Product at Market Prices,41298.0
11557,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Statistical Discrepancy,
11558,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Export of Goods (excluding Factor Income Flows),22881.0
11559,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Import of Goods (excluding Factor Income Flows),-15634.0
11560,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Export of Services (excluding Factor Income Flows),26087.0
11561,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Import of Services (excluding Factor Income Flows),-26183.0
11562,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Final Domestic Demand,41197.0
11563,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2011Q4,Total Domestic Demand,41057.0
11564,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Personal Expenditure on Consumer Goods and Services,23738.0
11565,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Household & NPISH Final Consumption Expenditure,22415.0
11566,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7524.0
11567,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,General Government Expenditure on Goods & Services provided to Households,5849.0
11568,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,General Government Collective Consumption Expenditure,2998.0
11569,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,General Government Final Consumption Expenditure,8847.0
11570,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross Domestic Fixed Capital Formation,10323.0
11571,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross domestic fixed capital formation - Dwellings,
11572,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross domestic fixed capital formation - Improvements,
11573,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross domestic fixed capital formation - Other Building and Construction,
11574,	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2012Q1,Gross domestic fixed capital formation - Transfer Costs,
