,Statistic,Quarter,Item,value
2850,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),21007.0
2851,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4914.0
2852,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1117.0
2853,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),182.0
2854,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),270.0
2855,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),182.0
2856,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - ESA2010 Code (TE),26091.0
2857,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25350.0
2858,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),7089.0
2859,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4349.0
2860,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1636.0
2861,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),788.0
2862,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),702.0
2863,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),8887.0
2864,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1454.0
2865,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),445.0
2866,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net operating balance - ESA2010 Code  (NOB),2323.0
2867,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),741.0
2868,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government Surplus/Deficit - ESA2010 Code (B9),1582.0
2869,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net acquisition of financial assets,3601.0
2870,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),5481.0
2871,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-1280.0
2872,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-599.0
2873,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net incurrence of liabilities,1137.0
2874,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),833.0
2875,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),304.0
2876,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,Memo: Net derivative flows on debt interest swap contracts,-2.0
2877,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),28480.0
2878,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26409.0
2879,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),2071.0
2880,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - ESA2010 Code (TR),28942.0
2881,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),27105.0
2882,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),22130.0
2883,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),4975.0
2884,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1105.0
2885,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),259.0
2886,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),303.0
2887,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),170.0
2888,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - ESA2010 Code (TE),26931.0
2889,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),25833.0
2890,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),7048.0
2891,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),4459.0
2892,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),1636.0
2893,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),830.0
2894,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),596.0
2895,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),9750.0
2896,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),1045.0
2897,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),469.0
2898,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net operating balance - ESA2010 Code  (NOB),3109.0
2899,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),1097.0
2900,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government Surplus/Deficit - ESA2010 Code (B9),2012.0
2901,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net acquisition of financial assets,2426.0
2902,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),2335.0
2903,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-302.0
2904,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),393.0
2905,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net incurrence of liabilities,-877.0
2906,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-878.0
2907,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),1.0
2908,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,Memo: Net derivative flows on debt interest swap contracts,-1.0
2909,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),30224.0
2910,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),26912.0
2911,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q3,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),3313.0
2912,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - ESA2010 Code (TR),35150.0
2913,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),33205.0
2914,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),27762.0
2915,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),5443.0
2916,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1208.0
2917,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),216.0
2918,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2022Q4,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),321.0
